frame,kp0_x,kp0_y,kp0_conf,kp1_x,kp1_y,kp1_conf,kp2_x,kp2_y,kp2_conf,kp3_x,kp3_y,kp3_conf,kp4_x,kp4_y,kp4_conf,kp5_x,kp5_y,kp5_conf,kp6_x,kp6_y,kp6_conf,kp7_x,kp7_y,kp7_conf,kp8_x,kp8_y,kp8_conf,kp9_x,kp9_y,kp9_conf,kp10_x,kp10_y,kp10_conf,kp11_x,kp11_y,kp11_conf,kp12_x,kp12_y,kp12_conf,kp13_x,kp13_y,kp13_conf,kp14_x,kp14_y,kp14_conf,kp15_x,kp15_y,kp15_conf,kp16_x,kp16_y,kp16_conf
0,1948.82,511.08,0.98,2001.07,469.43,0.97,1913.11,476.79,0.93,2089.92,496.99,0.91,1873.73,509.94,0.65,2236.82,712.12,1.0,1778.1,800.55,0.99,2460.96,973.83,0.99,1667.96,1079.87,0.95,2457.24,1253.28,0.97,1772.63,921.98,0.94,2205.15,1237.39,1.0,1939.24,1284.49,1.0,2148.81,1562.74,0.99,1954.9,1648.66,0.98,2066.95,1901.73,0.91,2117.96,1982.68,0.89
1,1943.18,521.63,0.98,1995.95,480.23,0.97,1908.14,487.97,0.93,2086.7,507.11,0.91,1870.47,520.26,0.65,2233.78,718.19,1.0,1775.44,808.22,0.99,2460.84,975.95,0.99,1666.39,1082.94,0.95,2456.18,1257.23,0.97,1780.69,917.59,0.94,2203.2,1246.44,1.0,1937.59,1295.23,1.0,2143.53,1577.78,0.99,1953.95,1670.9,0.98,2057.74,1904.1,0.9,2120.15,1995.53,0.88
2,1944.99,536.68,0.99,1997.03,495.25,0.97,1909.66,503.23,0.93,2085.68,520.55,0.9,1870.85,533.86,0.67,2232.72,726.21,1.0,1772.52,818.33,0.99,2461.1,978.92,0.99,1662.06,1092.28,0.96,2456.87,1260.83,0.97,1791.4,918.63,0.94,2204.72,1250.94,1.0,1937.38,1301.44,1.0,2146.88,1571.32,0.99,1950.8,1667.45,0.98,2055.64,1899.85,0.91,2115.33,1993.85,0.89
3,1941.84,550.57,0.98,1994.62,507.97,0.97,1906.71,516.67,0.93,2085.64,530.01,0.91,1868.72,544.62,0.66,2232.66,732.83,1.0,1770.15,826.95,0.99,2462.7,983.31,0.99,1656.98,1097.49,0.96,2460.37,1263.66,0.97,1785.42,915.06,0.94,2202.93,1257.89,1.0,1934.04,1309.54,1.0,2142.94,1584.07,0.99,1945.01,1682.93,0.98,2058.94,1900.42,0.92,2116.65,1997.06,0.9
4,1943.66,561.22,0.98,1994.75,517.43,0.97,1907.8,525.95,0.93,2083.18,535.46,0.91,1868.39,550.44,0.65,2234.1,735.83,1.0,1767.72,827.61,0.99,2464.88,987.67,0.99,1655.6,1097.56,0.95,2463.76,1271.05,0.97,1788.03,908.35,0.94,2201.34,1256.52,1.0,1929.87,1305.13,1.0,2145.62,1573.71,0.99,1939.86,1658.36,0.98,2060.05,1919.78,0.91,2106.2,1991.58,0.88
5,1936.04,571.32,0.98,1986.81,525.91,0.97,1902.39,535.04,0.92,2079.92,536.98,0.91,1869.17,553.83,0.61,2234.04,735.45,1.0,1772.26,823.01,0.99,2464.69,990.01,0.99,1649.31,1088.32,0.95,2464.86,1271.12,0.98,1760.38,916.87,0.93,2194.23,1260.01,1.0,1925.23,1305.15,0.99,2142.52,1573.34,0.99,1936.14,1651.35,0.98,2070.2,1928.79,0.91,2099.69,1993.38,0.88
6,1933.57,581.8,0.98,1985.04,535.58,0.97,1900.31,544.38,0.93,2078.45,542.06,0.91,1866.71,557.76,0.62,2231.73,735.74,1.0,1768.0,826.81,0.99,2465.42,988.33,0.99,1647.75,1092.55,0.95,2466.83,1269.79,0.98,1764.06,901.51,0.94,2194.45,1264.73,1.0,1924.33,1312.3,1.0,2143.33,1582.99,0.99,1935.26,1666.41,0.98,2066.6,1920.88,0.92,2102.14,1992.85,0.89
7,1931.64,586.41,0.98,1983.18,539.87,0.97,1898.24,548.96,0.93,2075.95,543.53,0.91,1864.21,559.49,0.62,2228.34,733.93,1.0,1766.02,825.32,0.99,2464.44,985.45,0.99,1645.4,1081.63,0.95,2470.08,1265.12,0.98,1765.14,868.14,0.94,2194.02,1265.83,1.0,1924.26,1315.01,1.0,2140.98,1596.13,0.99,1933.01,1686.07,0.98,2065.17,1908.6,0.92,2100.25,1988.63,0.9
8,1927.9,587.14,0.98,1980.1,539.37,0.97,1892.58,549.18,0.93,2072.36,541.63,0.91,1854.81,559.17,0.62,2221.66,730.5,1.0,1764.18,823.75,0.99,2464.22,972.4,0.99,1644.62,1068.19,0.95,2476.93,1239.99,0.98,1746.4,855.3,0.94,2196.28,1260.58,1.0,1928.95,1311.75,1.0,2137.73,1589.69,0.99,1930.75,1687.9,0.98,2070.98,1903.95,0.92,2096.89,1997.91,0.9
9,1925.3,582.07,0.99,1977.41,533.07,0.97,1888.84,543.36,0.93,2068.37,533.61,0.91,1848.53,552.84,0.61,2218.93,723.43,1.0,1763.79,818.27,0.99,2463.97,958.46,0.99,1652.34,1051.38,0.95,2478.8,1226.99,0.98,1725.46,837.64,0.94,2195.52,1253.21,1.0,1929.7,1303.02,1.0,2130.63,1580.97,0.99,1922.12,1671.97,0.98,2077.4,1910.77,0.92,2092.36,1994.84,0.9
