frame,kp0_x,kp0_y,kp0_conf,kp1_x,kp1_y,kp1_conf,kp2_x,kp2_y,kp2_conf,kp3_x,kp3_y,kp3_conf,kp4_x,kp4_y,kp4_conf,kp5_x,kp5_y,kp5_conf,kp6_x,kp6_y,kp6_conf,kp7_x,kp7_y,kp7_conf,kp8_x,kp8_y,kp8_conf,kp9_x,kp9_y,kp9_conf,kp10_x,kp10_y,kp10_conf,kp11_x,kp11_y,kp11_conf,kp12_x,kp12_y,kp12_conf,kp13_x,kp13_y,kp13_conf,kp14_x,kp14_y,kp14_conf,kp15_x,kp15_y,kp15_conf,kp16_x,kp16_y,kp16_conf
0,1257.65,11.53,0.53,0.0,0.0,0.07,1242.53,0.0,0.61,0.0,0.0,0.06,1204.47,5.66,0.86,1183.18,76.99,0.9,1163.98,67.64,0.99,1137.78,207.04,0.69,1099.25,165.33,0.99,1233.03,264.25,0.62,1200.35,263.93,0.97,1137.42,342.06,1.0,1127.03,340.83,1.0,1148.91,532.23,0.99,1185.88,528.25,1.0,1059.41,614.64,0.98,1083.99,603.49,0.99
1,1252.16,15.82,0.69,0.0,0.0,0.15,1242.43,0.15,0.8,0.0,0.0,0.11,1203.37,9.01,0.91,1170.72,95.66,0.85,1164.18,91.89,0.99,0.0,0.0,0.47,1132.32,212.22,0.98,0.0,0.0,0.48,1230.39,285.56,0.95,1136.34,342.27,0.98,1132.09,346.15,0.99,1170.37,541.26,0.97,1190.06,555.33,0.99,1141.08,731.97,0.92,1158.43,763.89,0.97
2,1246.73,14.62,0.61,0.0,0.0,0.13,1239.97,0.0,0.64,0.0,0.0,0.15,1203.98,2.41,0.87,1130.0,95.05,0.92,1171.17,99.48,0.99,1065.44,237.85,0.73,1166.22,230.58,0.98,1126.17,279.03,0.72,1264.41,269.23,0.95,1103.78,344.03,0.99,1126.14,348.68,0.99,1162.4,543.56,0.98,1185.51,552.38,0.99,1065.68,708.93,0.94,1067.42,730.5,0.96
3,1230.02,11.9,0.63,0.0,0.0,0.14,1226.79,0.0,0.63,0.0,0.0,0.14,1185.12,0.0,0.78,1113.47,83.25,0.92,1155.89,96.83,0.98,1046.42,216.75,0.83,1159.72,215.94,0.98,1078.72,284.88,0.82,1284.26,225.73,0.96,1116.69,338.22,0.99,1121.5,356.04,1.0,1223.72,483.44,0.98,1136.89,561.33,0.99,1100.06,592.79,0.94,950.97,728.29,0.96
4,1227.16,17.03,0.67,0.0,0.0,0.14,1220.17,0.0,0.7,0.0,0.0,0.13,1176.24,1.23,0.85,1105.41,70.67,0.93,1167.25,91.08,0.99,1024.97,208.13,0.82,1196.82,196.95,0.99,1058.55,288.83,0.78,1290.12,205.03,0.97,1114.0,323.59,1.0,1120.68,342.06,1.0,1228.76,455.62,1.0,1084.08,535.1,1.0,1124.3,585.88,0.99,863.88,726.25,0.99
5,1224.9,18.41,0.64,0.0,0.0,0.15,1218.48,0.0,0.56,0.0,0.0,0.16,1179.82,4.47,0.77,1102.8,73.62,0.94,1162.31,88.74,0.99,1001.49,194.51,0.91,1194.89,187.09,0.99,1054.36,269.19,0.89,1282.33,217.58,0.97,1128.61,329.92,1.0,1128.51,343.33,1.0,1238.65,477.34,0.99,1057.8,511.99,1.0,1208.21,626.56,0.97,870.19,683.5,0.98
6,1233.18,20.0,0.82,0.0,0.0,0.32,1217.55,0.84,0.73,0.0,0.0,0.33,1170.04,13.78,0.89,1092.14,78.11,0.99,1181.05,98.53,0.99,996.6,208.35,0.98,1214.93,183.97,0.99,1055.32,291.29,0.95,1274.23,202.99,0.96,1119.24,337.21,1.0,1139.47,344.7,1.0,1238.17,516.39,1.0,1046.56,518.06,1.0,1235.8,649.7,0.98,809.65,626.78,0.97
7,1232.24,29.99,0.87,0.0,0.0,0.42,1211.77,10.66,0.78,0.0,0.0,0.46,1167.76,27.88,0.93,1086.1,95.61,1.0,1191.78,111.48,1.0,992.1,233.17,0.98,1209.63,195.78,0.98,1066.91,311.09,0.95,1267.85,233.5,0.94,1110.86,343.39,1.0,1150.13,344.15,1.0,1207.91,547.5,1.0,1066.34,512.44,1.0,1238.36,680.53,0.98,845.55,583.09,0.97
8,1227.8,51.48,0.85,0.0,0.0,0.32,1212.77,33.76,0.85,0.0,0.0,0.28,1167.71,45.78,0.95,1106.79,125.28,0.99,1167.18,129.37,1.0,1028.98,274.7,0.91,1187.24,239.86,0.99,1089.69,344.95,0.81,1252.63,291.37,0.96,1116.49,370.35,1.0,1131.19,370.38,1.0,1199.59,560.06,1.0,1088.83,542.45,1.0,1198.84,651.54,0.98,942.14,610.21,0.99
9,1224.95,68.14,0.84,0.0,0.0,0.3,1213.55,50.67,0.89,0.0,0.0,0.22,1173.25,58.08,0.97,1111.1,140.22,0.95,1160.1,142.08,0.99,1090.31,263.27,0.64,1154.76,242.42,0.98,1187.54,333.09,0.57,1208.91,329.23,0.94,1097.39,373.71,0.99,1123.95,374.85,1.0,1158.28,571.24,0.98,1147.09,566.65,0.99,1124.64,699.8,0.95,1042.03,690.59,0.97
