frame,kp0_x,kp0_y,kp0_conf,kp1_x,kp1_y,kp1_conf,kp2_x,kp2_y,kp2_conf,kp3_x,kp3_y,kp3_conf,kp4_x,kp4_y,kp4_conf,kp5_x,kp5_y,kp5_conf,kp6_x,kp6_y,kp6_conf,kp7_x,kp7_y,kp7_conf,kp8_x,kp8_y,kp8_conf,kp9_x,kp9_y,kp9_conf,kp10_x,kp10_y,kp10_conf,kp11_x,kp11_y,kp11_conf,kp12_x,kp12_y,kp12_conf,kp13_x,kp13_y,kp13_conf,kp14_x,kp14_y,kp14_conf,kp15_x,kp15_y,kp15_conf,kp16_x,kp16_y,kp16_conf
0,54.79,340.68,0.83,60.84,335.86,0.72,51.39,332.44,0.74,0.0,0.0,0.36,0.0,0.0,0.43,45.96,333.78,0.83,16.55,324.04,0.77,36.64,377.77,0.6,0.0,0.0,0.4,42.5,427.01,0.52,0.0,0.0,0.35,0.0,0.0,0.37,0.0,0.0,0.31,0.0,0.0,0.16,0.0,0.0,0.13,0.0,0.0,0.09,0.0,0.0,0.07
1,54.79,340.68,0.83,60.84,335.86,0.72,51.39,332.44,0.74,0.0,0.0,0.36,0.0,0.0,0.43,45.96,333.78,0.83,16.55,324.04,0.77,36.64,377.77,0.6,0.0,0.0,0.4,42.5,427.01,0.52,0.0,0.0,0.35,0.0,0.0,0.37,0.0,0.0,0.31,0.0,0.0,0.16,0.0,0.0,0.13,0.0,0.0,0.09,0.0,0.0,0.07
2,52.71,339.12,0.84,59.45,334.71,0.75,49.78,330.58,0.73,0.0,0.0,0.41,0.0,0.0,0.39,48.37,332.79,0.84,17.09,319.89,0.77,39.42,378.44,0.62,0.0,0.0,0.38,43.12,426.57,0.55,0.0,0.0,0.34,0.0,0.0,0.38,0.0,0.0,0.3,0.0,0.0,0.17,0.0,0.0,0.13,0.0,0.0,0.09,0.0,0.0,0.07
3,53.45,339.08,0.83,60.18,334.66,0.74,50.52,330.54,0.73,0.0,0.0,0.41,0.0,0.0,0.4,47.44,335.2,0.85,17.58,322.17,0.78,39.49,380.36,0.64,0.0,0.0,0.41,44.0,426.26,0.56,0.0,0.0,0.36,0.0,0.0,0.42,0.0,0.0,0.33,0.0,0.0,0.18,0.0,0.0,0.13,0.0,0.0,0.09,0.0,0.0,0.07
4,54.36,337.01,0.85,61.61,332.77,0.77,51.64,328.06,0.75,0.0,0.0,0.44,0.0,0.0,0.4,49.46,333.48,0.87,16.78,318.3,0.81,41.36,380.4,0.69,0.0,0.0,0.44,45.68,423.62,0.62,0.0,0.0,0.39,0.0,0.0,0.46,0.0,0.0,0.37,0.0,0.0,0.2,0.0,0.0,0.15,0.0,0.0,0.09,0.0,0.0,0.07
5,53.84,335.92,0.82,61.63,332.08,0.72,52.39,326.49,0.7,0.0,0.0,0.4,0.0,0.0,0.36,49.27,333.52,0.83,21.71,314.45,0.75,43.78,381.38,0.62,0.0,0.0,0.38,49.94,426.52,0.54,0.0,0.0,0.34,0.0,0.0,0.38,0.0,0.0,0.3,0.0,0.0,0.16,0.0,0.0,0.12,0.0,0.0,0.08,0.0,0.0,0.06
6,69.37,326.41,0.87,75.97,322.11,0.77,66.73,317.44,0.76,76.7,319.02,0.5,0.0,0.0,0.48,57.33,333.63,0.92,30.77,317.51,0.86,56.55,383.85,0.74,0.0,0.0,0.47,55.39,422.67,0.63,0.0,0.0,0.39,7.86,383.31,0.61,0.0,0.0,0.49,0.0,0.0,0.25,0.0,0.0,0.17,0.0,0.0,0.09,0.0,0.0,0.07
7,88.43,314.54,0.84,91.64,309.62,0.58,86.27,307.64,0.8,0.0,0.0,0.29,72.24,301.41,0.71,64.73,313.27,0.93,49.66,310.01,0.94,60.51,363.29,0.66,39.52,362.92,0.71,63.09,400.11,0.54,51.88,407.45,0.56,8.03,328.44,0.78,0.0,326.42,0.77,19.36,377.76,0.6,12.31,377.27,0.61,0.0,0.0,0.39,0.0,0.0,0.4
8,107.43,308.53,0.86,111.88,303.42,0.56,104.76,300.76,0.86,0.0,0.0,0.2,88.91,294.37,0.79,83.56,309.87,0.9,61.4,303.29,0.95,69.29,360.41,0.51,41.67,354.16,0.8,0.0,0.0,0.45,50.44,398.99,0.66,16.92,326.53,0.74,1.15,322.74,0.8,29.85,374.26,0.53,20.1,372.1,0.64,0.0,0.0,0.35,0.0,0.0,0.43
9,121.7,299.67,0.84,0.0,0.0,0.38,120.06,293.67,0.87,0.0,0.0,0.11,104.73,291.48,0.9,84.65,305.74,0.92,78.82,305.02,0.98,0.0,0.0,0.42,53.91,346.39,0.89,0.0,0.0,0.37,52.3,383.51,0.77,20.24,333.14,0.87,14.94,332.23,0.92,42.5,378.92,0.75,38.46,379.73,0.87,9.1,417.88,0.62,6.08,423.31,0.74
