frame,kp0_x,kp0_y,kp0_conf,kp1_x,kp1_y,kp1_conf,kp2_x,kp2_y,kp2_conf,kp3_x,kp3_y,kp3_conf,kp4_x,kp4_y,kp4_conf,kp5_x,kp5_y,kp5_conf,kp6_x,kp6_y,kp6_conf,kp7_x,kp7_y,kp7_conf,kp8_x,kp8_y,kp8_conf,kp9_x,kp9_y,kp9_conf,kp10_x,kp10_y,kp10_conf,kp11_x,kp11_y,kp11_conf,kp12_x,kp12_y,kp12_conf,kp13_x,kp13_y,kp13_conf,kp14_x,kp14_y,kp14_conf,kp15_x,kp15_y,kp15_conf,kp16_x,kp16_y,kp16_conf
0,371.28,638.74,0.98,384.69,628.64,0.93,360.29,626.6,0.96,404.96,625.23,0.7,339.5,620.18,0.83,414.78,672.43,0.99,308.69,667.83,1.0,427.88,754.5,0.96,272.28,758.24,0.98,414.74,811.93,0.93,286.62,829.5,0.96,374.34,795.88,1.0,301.05,792.34,1.0,380.85,912.7,0.99,274.47,908.8,0.99,365.96,1040.17,0.97,255.62,1041.85,0.98
1,374.48,634.12,0.98,385.57,623.6,0.91,362.55,622.92,0.96,402.43,617.22,0.58,338.57,615.36,0.87,413.58,661.96,0.99,308.03,660.23,1.0,426.51,737.81,0.94,270.08,746.72,0.99,414.74,794.89,0.92,282.49,817.47,0.98,378.82,789.16,1.0,306.48,786.86,1.0,380.55,910.08,0.99,278.22,908.2,1.0,363.81,1035.13,0.98,253.04,1039.36,0.98
2,377.69,628.31,0.98,387.68,617.91,0.91,365.47,617.17,0.97,402.16,611.91,0.56,338.42,609.82,0.88,413.32,656.27,0.99,305.89,653.88,1.0,429.37,724.88,0.94,266.83,734.97,0.99,416.18,777.96,0.92,280.68,807.47,0.98,379.7,783.62,1.0,306.55,780.65,1.0,377.89,905.98,0.99,277.23,901.19,1.0,361.58,1031.22,0.97,252.97,1029.24,0.98
3,378.02,627.46,0.98,386.7,617.15,0.88,366.28,616.35,0.96,399.13,607.04,0.51,338.95,605.2,0.87,413.85,645.72,0.99,302.85,645.83,1.0,430.88,710.71,0.94,264.53,729.22,0.99,415.12,765.97,0.92,281.23,803.6,0.98,379.75,779.87,1.0,305.48,777.35,1.0,375.3,903.64,0.99,278.92,896.94,1.0,354.1,1027.76,0.98,256.81,1021.63,0.98
4,373.5,624.94,0.97,382.18,615.35,0.86,362.89,613.97,0.94,0.0,0.0,0.49,338.56,602.48,0.84,410.38,642.44,0.98,302.47,640.96,1.0,424.94,707.14,0.94,263.98,725.62,0.99,409.69,761.8,0.92,279.7,803.45,0.98,376.15,772.64,1.0,304.22,768.95,1.0,371.12,900.64,0.99,281.1,889.64,1.0,350.05,1026.53,0.97,262.03,1014.92,0.98
5,365.86,621.56,0.97,375.59,611.18,0.89,354.2,610.83,0.95,391.57,600.84,0.56,331.19,600.62,0.84,408.81,637.51,0.99,300.66,641.14,1.0,423.23,699.56,0.94,265.91,728.92,0.99,402.24,752.73,0.91,280.9,804.94,0.97,373.78,766.53,0.99,301.92,764.32,1.0,367.71,893.86,0.99,282.72,883.58,0.99,348.29,1025.2,0.97,268.91,1012.88,0.98
6,365.36,621.74,0.98,376.48,611.52,0.91,352.93,611.01,0.97,392.91,605.1,0.56,327.0,604.0,0.88,402.62,644.11,0.99,298.63,649.66,1.0,413.71,702.07,0.93,271.73,740.22,0.99,390.64,752.64,0.9,288.27,820.31,0.98,368.26,764.93,0.99,298.2,764.44,1.0,365.93,891.19,0.99,284.15,886.16,0.99,347.08,1019.5,0.96,273.46,1016.75,0.98
7,367.47,631.23,0.98,377.94,619.82,0.89,354.93,620.44,0.97,390.56,612.02,0.51,325.24,612.46,0.91,397.54,647.17,0.98,295.4,657.83,1.0,408.49,710.06,0.89,275.23,748.25,0.99,384.72,753.9,0.85,297.1,826.59,0.97,366.82,774.22,0.99,297.48,778.09,1.0,363.83,894.7,0.99,286.27,898.01,0.99,342.47,1020.43,0.96,281.67,1026.51,0.98
8,359.79,646.89,0.97,368.21,634.86,0.9,346.74,634.99,0.97,0.0,0.0,0.42,320.92,623.25,0.88,390.97,651.87,0.99,286.98,661.61,1.0,403.94,714.3,0.92,268.54,754.51,0.99,380.58,747.37,0.91,297.2,834.12,0.97,363.46,792.01,0.99,293.67,796.98,1.0,365.09,909.2,0.98,284.27,914.25,0.99,342.56,1022.93,0.92,267.34,1031.46,0.95
9,350.51,660.5,0.97,360.41,646.75,0.89,335.62,648.8,0.97,0.0,0.0,0.37,312.39,641.71,0.92,392.31,670.92,0.99,280.42,681.47,1.0,404.18,752.14,0.87,269.39,776.86,0.99,384.91,807.45,0.86,314.35,839.34,0.98,368.16,793.59,0.99,293.6,799.01,1.0,368.22,906.42,0.98,282.76,911.7,0.99,332.62,1018.4,0.94,268.83,1027.75,0.97
