frame,kp0_x,kp0_y,kp0_conf,kp1_x,kp1_y,kp1_conf,kp2_x,kp2_y,kp2_conf,kp3_x,kp3_y,kp3_conf,kp4_x,kp4_y,kp4_conf,kp5_x,kp5_y,kp5_conf,kp6_x,kp6_y,kp6_conf,kp7_x,kp7_y,kp7_conf,kp8_x,kp8_y,kp8_conf,kp9_x,kp9_y,kp9_conf,kp10_x,kp10_y,kp10_conf,kp11_x,kp11_y,kp11_conf,kp12_x,kp12_y,kp12_conf,kp13_x,kp13_y,kp13_conf,kp14_x,kp14_y,kp14_conf,kp15_x,kp15_y,kp15_conf,kp16_x,kp16_y,kp16_conf
9,0.0,0.0,0.47,0.0,0.0,0.36,0.0,0.0,0.4,0.0,0.0,0.25,0.0,0.0,0.31,0.0,0.0,0.5,0.0,963.43,0.52,0.0,0.0,0.21,0.0,0.0,0.23,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.21,0.0,0.0,0.22,0.0,0.0,0.15,0.0,0.0,0.16,0.0,0.0,0.15,0.0,0.0,0.16,0.0,0.0,0.44,0.0,0.0,0.39,0.0,0.0,0.32,0.0,0.0,0.33,0.0,0.0,0.23,32.77,963.61,0.52,0.0,0.0,0.44,0.0,0.0,0.31,0.0,0.0,0.2,0.0,0.0,0.28,0.0,0.0,0.19,0.0,0.0,0.22,0.0,0.0,0.2,0.0,0.0,0.14,0.0,0.0,0.13,0.0,0.0,0.12,0.0,0.0,0.11
10,62.3,866.81,0.54,0.0,0.0,0.41,0.0,0.0,0.48,0.0,0.0,0.22,0.0,0.0,0.32,0.0,0.0,0.41,0.0,0.0,0.46,0.0,0.0,0.2,0.0,0.0,0.25,0.0,0.0,0.21,0.0,0.0,0.22,0.0,0.0,0.18,0.0,0.0,0.21,0.0,0.0,0.12,0.0,0.0,0.13,0.0,0.0,0.08,0.0,0.0,0.09,62.76,865.67,0.67,0.0,0.0,0.41,46.0,845.3,0.71,0.0,0.0,0.14,3.44,855.34,0.62,0.0,0.0,0.46,0.0,963.29,0.72,0.0,0.0,0.09,0.0,0.0,0.37,0.0,0.0,0.1,0.0,0.0,0.28,0.0,0.0,0.15,0.0,0.0,0.26,0.0,0.0,0.11,0.0,0.0,0.19,0.0,0.0,0.14,0.0,0.0,0.21
11,88.98,878.05,0.66,97.45,856.83,0.51,68.73,854.34,0.61,0.0,0.0,0.25,0.0,0.0,0.38,0.0,0.0,0.46,0.0,0.0,0.5,0.0,0.0,0.2,0.0,0.0,0.23,0.0,0.0,0.21,0.0,0.0,0.21,0.0,0.0,0.19,0.0,0.0,0.21,0.0,0.0,0.12,0.0,0.0,0.13,0.0,0.0,0.08,0.0,0.0,0.09
12,129.91,885.6,0.8,137.77,863.99,0.66,109.2,863.35,0.79,0.0,0.0,0.36,47.03,879.25,0.63,78.51,1007.35,0.8,11.22,1010.44,0.73,0.0,0.0,0.44,0.0,0.0,0.33,0.0,0.0,0.36,0.0,0.0,0.3,36.06,1325.46,0.57,0.0,1330.57,0.5,0.0,0.0,0.43,0.0,0.0,0.37,0.0,0.0,0.29,0.0,0.0,0.24
13,163.58,898.22,0.86,170.63,877.48,0.68,143.69,876.41,0.86,0.0,0.0,0.32,75.94,887.26,0.75,111.46,1012.43,0.85,18.34,1010.15,0.88,0.0,0.0,0.5,0.0,1159.84,0.59,0.0,0.0,0.42,76.53,1246.31,0.51,57.39,1325.41,0.71,0.07,1329.33,0.72,61.03,1580.16,0.55,50.59,1591.73,0.57,0.0,0.0,0.36,0.0,0.0,0.36
14,194.24,908.15,0.86,201.06,889.12,0.65,175.06,886.92,0.87,0.0,0.0,0.28,104.57,900.03,0.78,142.26,1028.27,0.86,28.41,1021.95,0.91,144.23,1184.19,0.52,0.0,1165.94,0.69,0.0,0.0,0.46,126.0,1222.3,0.61,74.67,1339.98,0.77,4.75,1342.98,0.8,82.91,1590.52,0.61,61.77,1598.88,0.65,0.0,0.0,0.4,0.0,0.0,0.42
15,232.76,913.86,0.89,237.03,895.16,0.64,213.17,894.88,0.9,0.0,0.0,0.26,145.5,915.62,0.85,180.03,1045.34,0.89,59.66,1045.06,0.96,177.69,1202.12,0.58,10.17,1193.17,0.87,208.73,1244.86,0.54,162.57,1201.0,0.8,99.62,1366.02,0.86,26.39,1371.0,0.91,109.92,1610.6,0.71,89.93,1620.54,0.8,0.0,0.0,0.47,24.43,1830.76,0.54
16,268.61,911.7,0.9,273.62,892.03,0.6,248.33,892.49,0.92,0.0,0.0,0.23,185.8,916.3,0.9,203.2,1049.02,0.88,102.19,1041.29,0.98,177.15,1225.94,0.53,47.52,1198.82,0.94,235.04,1211.14,0.51,217.52,1176.33,0.89,117.87,1376.48,0.87,50.68,1377.67,0.94,124.07,1621.81,0.73,92.52,1626.81,0.87,0.0,0.0,0.5,7.24,1842.84,0.63
17,298.45,918.51,0.89,301.38,895.7,0.52,279.87,898.97,0.89,0.0,0.0,0.21,225.2,920.52,0.87,250.97,1040.38,0.92,150.87,1046.01,0.99,247.99,1199.16,0.73,105.75,1212.86,0.97,293.24,1143.01,0.7,252.48,1154.95,0.95,167.02,1361.12,0.95,97.74,1365.6,0.98,176.88,1612.29,0.88,125.24,1633.91,0.95,83.19,1811.82,0.69,3.57,1841.09,0.8
18,340.64,913.28,0.87,0.0,0.0,0.43,324.54,892.74,0.88,0.0,0.0,0.16,262.83,913.78,0.87,275.28,1034.73,0.93,186.9,1047.05,0.99,281.35,1199.49,0.78,173.05,1230.04,0.99,330.92,1121.46,0.75,295.18,1141.71,0.97,203.47,1350.81,0.98,133.37,1360.58,0.99,260.43,1590.07,0.94,156.28,1629.77,0.98,163.69,1758.29,0.82,12.01,1826.22,0.9
